Property Name,Property ID,Child 1,Child 2,Child 3,Child 4,Child 5,Child 6,Child 7,Child 8,Child 9,Child 10
65 Tex-Alberta Street COMBO,252,251,250,,,,,,,,
907 Bell Street COMBO- Craftsman Charmer,266,265,264,,,,,,,,
148 Starry Night (Combo),34,36,230,35,28,,,,,,
148 Starry Night (Main House + Casita),230,37,,,,,,,,,
310 W. Travis St.  (Combo),8,7,6,,,,,,,,
315 Deer Rd - Ridge COMBO,239,178,186,,,,,,,,
403 W Austin (Combo),41,40,39,,,,,,,,
411 E. Main St Combo,132,118,120,121,119,,,,,,
465 Bear Creek Rd (Main + Barn),214,127,,,,,,,,,
4788 FM 2093 COMBO,184,165,176,,,,,,,,
508 W San Antonio St (Combo),11,12,10,,,,,,,,
5416 Ranch Road 1623 Combo,183,171,172,,,,,,,,
6426 Old San Ant Rd (Combo),13,15,14,,,,,,,,
682 Old Comfort Rd COMBO,109,126,128,,,,,,,,
907 Hill Street - COMBO,123,111,113,115,114,,,,,,